created_at,entry_id,field1,field2,field3
2023-04-16 00:01:20 UTC,3892,21.59000,72.31000,0.71442
2023-04-16 00:06:22 UTC,3893,21.60000,72.14000,0.71925
2023-04-16 00:11:24 UTC,3894,21.59000,72.38000,0.71262
2023-04-16 00:16:25 UTC,3895,21.59000,71.86000,0.72603
2023-04-16 00:21:27 UTC,3896,21.54000,71.49000,0.73333
2023-04-16 00:26:29 UTC,3897,21.59000,71.96000,0.72345
2023-04-16 00:31:30 UTC,3898,21.57000,70.49000,0.76045
2023-04-16 00:36:32 UTC,3899,21.57000,71.61000,0.73159
2023-04-16 00:41:34 UTC,3900,21.57000,72.89000,0.69860
2023-04-16 00:46:35 UTC,3901,21.57000,72.46000,0.70968
2023-04-16 00:51:37 UTC,3902,21.59000,74.27000,0.66385
2023-04-16 00:56:39 UTC,3903,21.57000,72.88000,0.69886
2023-04-16 01:01:40 UTC,3904,21.57000,72.22000,0.71587
2023-04-16 01:06:42 UTC,3905,21.60000,71.87000,0.72622
2023-04-16 01:11:44 UTC,3906,21.57000,72.21000,0.71612
2023-04-16 01:16:45 UTC,3907,21.57000,73.03000,0.69499
2023-04-16 01:21:47 UTC,3908,21.59000,72.61000,0.70668
2023-04-16 01:26:49 UTC,3909,21.59000,73.49000,0.68398
2023-04-16 01:31:51 UTC,3910,21.57000,73.06000,0.69422
2023-04-16 01:36:52 UTC,3911,21.59000,71.53000,0.73455
2023-04-16 01:41:54 UTC,3912,21.56000,71.15000,0.74299
2023-04-16 01:46:56 UTC,3913,21.60000,71.58000,0.73370
2023-04-16 01:51:57 UTC,3914,21.59000,71.14000,0.74461
2023-04-16 01:56:59 UTC,3915,21.60000,71.72000,0.73009
2023-04-16 02:02:01 UTC,3916,21.60000,73.22000,0.69137
2023-04-16 02:07:02 UTC,3917,21.57000,72.26000,0.71484
2023-04-16 02:12:04 UTC,3918,21.59000,72.46000,0.71055
2023-04-16 02:17:06 UTC,3919,21.57000,72.20000,0.71638
2023-04-16 02:22:07 UTC,3920,21.56000,72.64000,0.70461
2023-04-16 02:27:09 UTC,3921,21.57000,72.85000,0.69963
